Variable Tag,Is Captain(1=yes),Is Wktkeeper(1=Yes),Nationality(1=Overseas),Name,Team,IPL 4 Franchise,Player cost USD,matches,innings played,no,runs scored,highest score,Is star batsman,Is batsman,Batting avg,Balls faced,Strike rate,100 runs made,50 runs made,4s,6s,Catches per match,Catches taken,stumping made,,matches played,innings played,Is bowler?,Number of balls bowled,runs given,Is star bowler,wkts taken,Best innings bowling,best match bowling,Bowling average,Bowling econ,sr,4w,5w,10 wicket hauls
111,0,0,1,Muttiah Muralitharan,Sri Lanka,Kochi,1100000,94,25,8,57,11,0,0,3.35,74,77.02,0,0,3,1,0.234042553,22,0,,94,94,1,2148,2275,1,111,01-04-16,01-04-16,20.49,6.35,19.3,3,0,0
112,0,0,1,Dale Steyn,South Africa,Deccan Chargers,1200000,83,22,6,87,22,0,0,5.43,90,96.66,0,0,6,2,0.265060241,22,0,,83,81,1,1845,2087,1,88,04-09-11,04-09-11,23.71,6.78,20.9,1,0,0
113,0,0,0,Harbhajan Singh (retained),India,Mumbai Indians,1300000,86,48,18,523,49*,0,1,17.43,360,145.27,0,0,46,28,0.255813953,22,0,,86,83,1,1788,1987,0,77,01-05-18,01-05-18,25.8,6.66,23.2,1,1,0
114,0,0,1,Shane Watson (retained),Australia,Rajasthan Royals,1300000,66,63,10,1715,97*,1,1,32.35,1173,146.2,0,14,152,83,0.333333333,22,0,,66,54,1,1114,1344,0,55,01-04-15,01-04-15,24.43,7.23,20.2,1,0,0
115,0,0,0,Suresh Raina (retained),India,Chennai Super Kings,1300000,88,85,14,2527,101,1,1,35.59,1780,141.96,1,18,210,111,0.454545455,40,0,,88,41,1,554,650,0,24,01-04-26,01-04-26,27.08,7.03,23,1,0,0
116,0,0,1,David Hussey,Australia,Kings XI Punjab,1400000,155,150,29,3897,100*,1,1,32.2,2827,137.84,1,22,263,167,0.55483871,86,0,,155,71,1,964,1188,0,43,01-03-25,01-03-25,27.62,7.39,22.4,0,0,0
117,1,0,1,Mahela Jayawardene,Sri Lanka,Kochi,1500000,103,100,17,2525,110*,1,1,30.42,1841,137.15,2,16,277,68,0.436893204,45,0,,103,4,0,69,82,0,3,01-02-22,01-02-22,27.33,7.13,23,0,0,0
118,0,0,0,Saurabh Tiwary,India,Royal Challengers Bangalore,1600000,50,44,10,1017,69,0,1,29.91,808,125.86,0,5,86,39,0.3,15,0,,50,-,0,-,-,0,-,-,-,0,-,-,-,-,-
119,1,1,0,MS Dhoni (retained),India,Chennai Super Kings,1800000,95,85,28,2090,73*,1,1,36.66,1568,133.29,0,9,156,78,0.389473684,37,24,,95,-,0,-,-,0,-,-,-,0,-,-,-,-,-
120,1,0,0,Sachin Tendulkar (retained),India,Mumbai Indians,1800000,60,60,8,2069,100*,1,1,39.78,1659,124.71,1,13,268,26,0.383333333,23,0,,60,8,0,93,123,0,2,01-12-11,01-12-11,61.5,7.93,46.5,0,0,0
121,1,0,1,Shane Warne (retained),Australia,Rajasthan Royals,1800000,58,31,9,210,34*,0,0,9.54,228,92.1,0,0,15,7,0.275862069,16,0,,58,57,1,1266,1522,0,59,01-04-21,01-04-21,25.79,7.21,21.4,1,0,0
122,0,0,0,Virat Kohli (retained),India,Royal Challengers Bangalore,1800000,79,70,12,1714,76,0,1,29.55,1359,126.12,0,7,170,48,0.417721519,33,0,,79,24,0,252,358,0,4,01-02-25,01-02-25,89.5,8.52,63,0,0,0
123,1,0,0,Virender Sehwag (retained),India,Delhi Daredevils,1800000,77,76,4,2033,119,0,1,28.23,1250,162.64,1,13,247,81,0.246753247,19,0,,77,20,0,292,393,0,19,01-03-14,01-03-14,20.68,8.07,15.3,0,0,0
124,1,0,0,Yuvraj Singh,India,Pune Warriors,1800000,93,90,12,2130,71,0,1,27.3,1574,135.32,0,12,171,113,0.279569892,26,0,,93,58,1,738,892,0,40,01-04-29,01-04-29,22.3,7.25,18.4,1,0,0
125,0,0,0,Irfan Pathan,India,Delhi Daredevils,1900000,83,67,23,968,60,0,1,22,757,127.87,0,1,71,40,0.240963855,20,0,,83,80,1,1695,2162,1,89,01-04-27,01-04-27,24.29,7.65,19,1,0,0
126,0,0,0,Rohit Sharma,India,Mumbai Indians,2000000,97,91,18,2417,101*,1,1,33.1,1843,131.14,1,15,209,100,0.402061856,39,0,,97,40,1,528,655,0,26,04-06-11,04-06-11,25.19,7.44,20.3,1,0,0
127,0,1,0,Robin Uthappa,India,Pune Warriors,2100000,93,87,14,1816,68*,0,1,24.87,1388,130.83,0,7,170,72,0.537634409,50,10,,93,-,0,-,-,0,-,-,-,0,-,-,-,-,-
128,0,0,0,Yusuf Pathan,India,Kolkata Knight Riders,2100000,90,82,10,1824,100,0,1,25.33,1142,159.71,1,9,152,111,0.377777778,34,0,,90,75,1,1320,1642,0,67,04-10-11,04-10-11,24.5,7.46,19.7,2,0,0
129,1,0,0,Gautam Gambhir,India,Kolkata Knight Riders,2400000,87,85,9,2222,86,0,1,29.23,1831,121.35,0,17,266,23,0.149425287,13,0,,,,0,,,,,,,0,,,,,
