Variable Tag,Is Captain(1=yes),Is Wktkeeper(1=Yes),Nationality(1=Overseas),Name,Team,IPL 4 Franchise,Player cost USD,matches,innings played,no,runs scored,highest score,Is star batsman,Is batsman,Batting avg,Balls faced,Strike rate,100 runs made,50 runs made,4s,6s,Catches per match,Catches taken,stumping made,,matches played,innings played,Is bowler?,Number of balls bowled,runs given,Is star bowler,wkts taken,Best innings bowling,best match bowling,Bowling average,Bowling econ,sr,4w,5w,10 wicket hauls
26,0,0,1,Nuwan Kulasekara,Sri Lanka,Chennai Super Kings,100000,31,22,8,155,30*,0,0,11.07,124,125,0,0,5,8,0.387096774,12,0,,31,31,1,674,862,0,32,03-04-11,03-04-11,26.93,7.67,21,0,0,0
27,0,1,0,Wriddhiman Saha,India,Chennai Super Kings,100000,56,43,17,747,85*,0,1,28.73,550,135.81,0,3,61,32,0.482142857,27,6,,56,-,0,-,-,0,-,-,-,0,-,-,-,-,-
28,0,0,1,Clint McKay,Australia,Mumbai Indians,110000,31,16,7,122,21*,0,0,13.55,80,152.5,0,0,7,8,0.129032258,4,0,,31,31,1,687,945,0,43,01-04-33,01-04-33,21.97,8.25,15.9,1,0,0
29,0,0,1,Faf du Plessis,South Africa,Chennai Super Kings,120000,43,38,4,692,78*,0,1,20.35,589,117.48,0,3,67,17,0.325581395,14,0,,43,33,1,528,626,0,34,01-03-18,01-03-18,18.41,7.11,15.5,0,0,0
30,0,0,0,Mohammad Kaif,India,Royal Challengers Bangalore,130000,45,38,6,676,68,0,1,21.12,615,109.91,0,4,72,11,0.488888889,22,0,,45,-,0,-,-,0,-,-,-,0,-,-,-,-,-
31,0,0,1,Charl Langeveldt,South Africa,Royal Challengers Bangalore,140000,83,18,11,64,13*,0,0,9.14,73,87.67,0,0,4,2,0.228915663,19,0,,83,82,1,1758,2121,1,111,01-05-16,01-05-16,19.1,7.23,15.8,4,1,0
32,0,0,1,Jesse Ryder,New Zealand,Pune Warriors,150000,52,51,2,1088,86,0,1,22.2,773,140.75,0,8,118,45,0.307692308,16,0,,52,28,0,454,610,0,13,01-02-14,01-02-14,46.92,8.06,34.9,0,0,0
33,0,0,0,Joginder Sharma,India,Chennai Super Kings,150000,41,22,6,224,35,0,0,14,170,131.76,0,0,16,11,0.317073171,13,0,,41,40,1,757,1016,0,36,01-03-17,01-03-17,28.22,8.05,21,0,0,0
34,0,0,1,Ryan ten Doeschate,Netherlands,Kolkata Knight Riders,150000,107,93,22,1843,102,0,1,25.95,1428,129.06,1,4,117,70,0.336448598,36,0,,107,59,1,1061,1410,0,60,01-04-24,01-04-24,23.5,7.97,17.6,1,0,0
35,0,0,1,Wayne Parnell,South Africa,Pune Warriors,160000,42,16,8,101,16,0,0,12.62,103,98.05,0,0,5,1,0.119047619,5,0,,42,41,1,865,1017,0,41,01-04-13,01-04-13,24.8,7.05,21,1,0,0
36,0,1,1,Davy Jacobs,South Africa,Mumbai Indians,190000,61,58,9,1313,74,0,1,26.79,1115,117.75,0,6,115,46,0.491803279,30,6,,61,1,0,6,14,0,0,-,-,0,14,-,0,0,0
37,0,0,1,Dwayne Bravo,West Indies,Chennai Super Kings,200000,87,72,17,1317,70*,0,1,23.94,1035,127.24,0,8,97,57,0.448275862,39,0,,87,84,1,1546,2123,0,82,01-04-23,01-04-23,25.89,8.23,18.8,2,0,0
38,0,0,1,Owais Shah,England,Kochi,200000,115,109,22,2842,80,1,1,32.66,2196,129.41,0,15,227,117,0.339130435,39,0,,115,7,0,51,69,0,5,01-02-26,01-02-26,13.8,8.11,10.2,0,0,0
39,0,0,1,Scott Styris,New Zealand,Chennai Super Kings,200000,120,112,13,2481,106*,0,1,25.06,1878,132.1,1,9,167,118,0.258333333,31,0,,120,97,1,1874,2354,0,88,03-05-11,03-05-11,26.75,7.53,21.2,0,0,0
40,0,0,1,Steven Smith,Australia,Kochi,200000,41,32,8,417,35*,0,1,17.37,350,119.14,0,0,37,8,0.56097561,23,0,,41,34,1,582,719,0,42,01-04-13,01-04-13,17.11,7.41,13.8,2,0,0
41,0,0,0,Ajit Agarkar,India,Delhi Daredevils,210000,48,27,12,229,39,0,0,15.26,182,125.82,0,0,18,6,0.083333333,4,0,,48,47,1,912,1263,0,40,01-03-25,01-03-25,31.57,8.3,22.8,0,0,0
42,0,0,0,Sudeep Tyagi,India,Chennai Super Kings,240000,14,2,1,2,2*,0,0,2,7,28.57,0,0,0,0,0.214285714,3,0,,14,13,1,258,320,0,20,03-10-11,03-10-11,16,7.44,12.9,0,0,0
43,0,0,0,Jaidev Unadkat,India,Kolkata Knight Riders,250000,14,2,1,2,2*,0,0,2,7,28.57,0,0,0,0,0.214285714,3,0,,14,13,1,258,320,0,20,03-10-11,03-10-11,16,7.44,12.9,0,0,0
44,0,0,1,Paul Collingwood,England,Rajasthan Royals,250000,67,58,5,973,79,0,1,18.35,803,121.17,0,6,61,41,0.313432836,21,0,,67,42,1,625,736,0,52,05-06-11,05-06-11,14.15,7.06,12,3,2,0
45,0,1,0,Naman Ojha,India,Delhi Daredevils,270000,53,53,5,1016,94*,0,1,21.16,867,117.18,0,5,95,53,0.566037736,30,7,,53,-,0,-,-,0,-,-,-,0,-,-,-,-,-
46,0,1,1,Tim Paine,Australia,Pune Warriors,270000,26,22,0,379,71,0,1,17.22,280,135.35,0,2,32,15,0.692307692,18,4,,26,-,0,-,-,0,-,-,-,0,-,-,-,-,-
47,0,0,0,Manpreet Gony,India,Deccan Chargers,290000,39,18,7,152,34*,0,0,13.81,106,143.39,0,0,8,10,0.128205128,5,0,,39,39,1,785,1014,0,39,01-04-16,01-04-16,26,7.75,20.1,1,0,0
48,0,1,0,Parthiv Patel,India,Kochi,290000,58,56,5,1028,57,0,1,20.15,947,108.55,0,4,135,14,0.431034483,25,9,,58,-,0,-,-,0,-,-,-,0,-,-,-,-,-
49,0,0,1,Aaron Finch,Australia,Delhi Daredevils,300000,30,27,5,824,93*,0,1,37.45,625,131.84,0,6,76,29,0.466666667,14,0,,30,2,0,19,18,0,0,-,-,0,5.68,-,0,0,0
50,0,0,0,Amit Mishra,India,Deccan Chargers,300000,67,39,14,402,49,0,1,16.08,360,111.66,0,0,43,4,0.23880597,16,0,,67,67,1,1495,1697,1,93,01-05-17,01-05-17,18.24,6.81,16,1,2,0
51,0,0,1,Callum Ferguson,Australia,Pune Warriors,300000,34,31,5,566,71,0,1,21.76,470,120.42,0,3,51,10,0.529411765,18,0,,34,-,0,-,-,0,-,-,-,0,-,-,-,-,-
52,0,0,1,JP Duminy,South Africa,Deccan Chargers,300000,100,96,22,2415,99*,1,1,32.63,2014,119.91,0,16,194,75,0.33,33,0,,100,41,1,517,652,0,27,01-04-24,01-04-24,24.14,7.56,19.1,1,0,0
53,0,0,1,Shaun Tait,Australia,Rajasthan Royals,300000,62,20,7,87,14*,0,0,6.69,114,76.31,0,0,4,4,0.241935484,15,0,,62,62,1,1368,1751,1,87,01-04-14,01-04-14,20.12,7.67,15.7,1,0,0
54,0,0,0,Shikhar Dhawan,India,Deccan Chargers,300000,59,58,8,1411,95*,0,1,28.22,1233,114.43,0,10,151,26,0.457627119,27,0,,59,2,0,12,11,0,1,01-07-11,01-07-11,11,5.5,12,0,0,0
55,0,1,1,Brad Haddin,Australia,Kolkata Knight Riders,325000,36,34,4,576,54,0,1,19.2,503,114.51,0,2,44,17,0.583333333,21,11,,36,-,0,-,-,0,-,-,-,0,-,-,-,-,-
56,0,0,1,Ryan Harris,Australia,Kings XI Punjab,325000,51,29,11,179,31,0,0,9.94,180,99.44,0,0,7,5,0.392156863,20,0,,51,50,1,1117,1392,0,66,01-03-18,01-03-18,21.09,7.47,16.9,0,0,0
57,0,0,1,Eoin Morgan,England,Kolkata Knight Riders,350000,79,72,11,1584,85*,0,1,25.96,1223,129.51,0,7,144,55,0.417721519,33,0,,79,-,0,-,-,0,-,-,-,0,-,-,-,-,-
58,0,0,1,James Hopes,Australia,Delhi Daredevils,350000,60,52,8,1151,71,0,1,26.15,886,129.9,0,10,132,21,0.266666667,16,0,,60,56,1,1065,1499,0,43,01-03-33,01-03-33,34.86,8.44,24.7,0,0,0
59,0,0,0,Ashok Dinda,India,Delhi Daredevils,375000,50,11,4,25,19,0,0,3.57,37,67.56,0,0,1,0,0.1,5,0,,50,47,1,949,1099,0,48,01-04-13,01-04-13,22.89,6.94,19.7,1,0,0
60,0,0,1,Brett Lee,Australia,Kolkata Knight Riders,400000,55,29,14,235,48,0,0,15.66,181,129.83,0,0,18,12,0.327272727,18,0,,55,55,1,1206,1447,0,44,01-03-15,01-03-15,32.88,7.19,27.4,0,0,0
61,0,0,0,Murali Kartik,India,Pune Warriors,400000,97,28,13,223,28,0,0,14.86,216,103.24,0,0,17,3,0.288659794,28,0,,97,94,1,2038,2260,0,77,01-05-13,01-05-13,29.35,6.65,26.4,0,1,0
62,0,0,1,Shaun Marsh,Australia,Kings XI Punjab,400000,56,55,7,2135,115,0,1,44.47,1552,137.56,2,16,200,85,0.357142857,20,0,,56,2,0,12,13,0,0,-,-,0,6.5,-,0,0,0
63,0,0,1,Stuart Broad,England,Kings XI Punjab,400000,45,14,6,45,10*,0,0,5.62,45,100,0,0,3,1,0.311111111,14,0,,45,44,1,978,1101,0,55,01-03-13,01-03-13,20.01,6.75,17.7,0,0,0
64,0,0,0,VVS Laxman,India,Kochi,400000,25,25,3,491,78*,0,1,22.31,428,114.71,0,3,57,8,0.16,4,0,,25,-,0,-,-,0,-,-,-,0,-,-,-,-,-
65,0,0,1,Brad Hodge,Australia,Kochi,425000,127,124,19,3690,106,1,1,35.14,2917,126.49,2,24,394,89,0.346456693,44,0,,127,63,1,906,1142,0,56,01-04-13,01-04-13,20.39,7.56,16.1,3,0,0
66,0,0,1,Michael Hussey,Australia,Chennai Super Kings,425000,60,52,13,1633,116*,1,1,41.87,1272,128.38,1,11,152,40,0.566666667,34,0,,60,1,0,6,5,0,0,-,-,0,5,-,0,0,0
67,0,0,1,Shakib Al Hasan,Bangladesh,Kolkata Knight Riders,425000,40,36,1,432,47,0,1,12.34,409,105.62,0,0,33,9,0.35,14,0,,40,40,1,885,978,0,55,01-04-31,01-04-31,17.78,6.63,16,2,0,0
68,0,0,0,Ishant Sharma,India,Deccan Chargers,450000,58,19,15,45,9,0,0,11.25,54,83.33,0,0,3,1,0.172413793,10,0,,58,58,1,1221,1562,0,43,05-12-11,05-12-11,36.32,7.67,28.3,0,1,0
69,0,1,1,Brendon McCullum,New Zealand,Kochi,475000,112,111,13,3073,158*,1,1,31.35,2252,136.45,3,15,309,132,0.455357143,51,4,,112,-,0,-,-,0,-,-,-,0,-,-,-,-,-
70,0,0,0,Manoj Tiwary,India,Kolkata Knight Riders,475000,60,54,15,1350,75*,0,1,34.61,1139,118.52,0,8,112,35,0.466666667,28,0,,60,18,0,216,262,0,10,01-03-19,01-03-19,26.2,7.27,21.6,0,0,0
71,0,0,1,Morne Morkel,South Africa,Delhi Daredevils,475000,56,17,10,76,16*,0,0,10.85,78,97.43,0,0,6,2,0.142857143,8,0,,56,55,1,1192,1401,0,59,01-04-17,01-04-17,23.74,7.05,20.2,2,0,0
72,0,0,0,Vinay Kumar,India,Kochi,475000,64,33,9,235,25*,0,0,9.79,197,119.28,0,0,15,9,0.203125,13,0,,64,64,1,1254,1649,0,64,01-04-40,01-04-40,25.76,7.88,19.5,1,0,0
73,0,0,1,Albie Morkel (retained),South Africa,Chennai Super Kings,500000,154,126,45,2259,71*,0,1,27.88,1586,142.43,0,6,156,126,0.207792208,32,0,,154,140,1,2622,3508,0,128,01-04-30,01-04-30,27.4,8.02,20.4,2,0,0
