Match,Date,Vs,Ground,Wkts,Agg,Avg,Economy,Overs
1,24-04-2017,2,1,2,2,19.5,9.75,4
2,01-05-2017,8,1,1,3,20.67,7.67,3
3,06-05-2017,6,2,3,6,12.17,3,3.4
4,08-05-2017,3,2,0,6,15.33,9.5,2
5,11-05-2017,5,1,1,7,17.71,10.67,3
6,13-05-2017,4,2,1,8,18.75,8.67,3
7,16-05-2017,2,1,1,9,20,7.5,4
8,19-05-2017,4,2,4,13,15.08,4,4
9,21-05-2017,2,2,0,13,16.46,4.5,4
