Match,Date,Vs,Ground,Wkts,Agg,Avg,Economy,Overs
1,17-04-2017,4,1,0,0,0,9.33,3
2,30-04-2017,5,2,0,0,0,9.5,2
3,02-05-2017,3,1,2,2,41.5,9,4
4,04-05-2017,7,1,0,2,61.5,13.33,3
5,06-05-2017,1,2,0,2,69.5,8,2
6,10-05-2017,7,2,1,3,58.33,9,4
7,12-05-2017,2,1,2,5,42.4,9.25,4
8,14-05-2017,8,1,0,5,48.6,7.75,4
