Match,Date,Vs,Ground,Wkts,Agg,Avg,Economy,Overs
1,14-04-2017,7,2,1,1,14,4.67,3
2,16-04-2017,8,2,3,4,12.25,8.75,4
3,22-04-2017,3,1,0,4,24.75,12.5,4
4,24-04-2017,1,1,0,4,32,9.67,3
5,26-04-2017,4,1,0,4,39.75,9.79,3.1
6,01-05-2017,7,1,1,5,36.8,8.33,3
7,03-05-2017,4,2,0,5,41,7,3
8,06-05-2017,3,2,0,5,43.4,6,2
9,12-05-2017,6,2,0,5,50.4,11.67,3
10,14-05-2017,5,1,3,8,33.88,4.75,4
11,16-05-2017,1,1,3,11,28,9.25,4
12,21-05-2017,1,2,0,11,28.64,3.5,2
