Match,Date,Vs,Ground,Wkts,Agg,Avg,Economy,Overs
1,10-04-2018,3,1,1,1,37,9.25,4
2,15-04-2018,7,2,2,3,23.33,11,3
3,20-04-2018,4,2,2,5,17.6,6,3
4,22-04-2018,1,2,1,6,22.17,11.25,4
5,25-04-2018,6,1,2,8,22.38,11.5,4
6,28-04-2018,5,2,0,8,27.13,9.5,4
7,05-05-2018,6,2,0,8,29.5,9.5,2
8,11-05-2018,4,2,1,9,28.67,5.5,4
9,13-05-2018,1,2,2,11,26.36,8,4
10,18-05-2018,8,2,1,12,26.42,6.75,4
11,20-05-2018,7,2,2,14,25,9,3.4
12,22-05-2018,1,2,1,15,26.67,12.5,4
13,27-05-2018,1,2,1,16,26.94,10.33,3
