Match,Date,Vs,Ground,Wkts,Agg,Avg,Economy,Overs
1,07-04-2018,5,2,1,1,23,11.5,2
2,10-04-2018,3,1,0,1,49,6.5,4
3,15-04-2018,7,2,2,3,27.67,8.5,4
4,20-04-2018,4,2,1,4,31.75,11,4
5,25-04-2018,6,2,2,6,27,8.75,4
6,28-04-2018,5,2,0,6,31.33,9.75,2.4
