Match,Date,Vs,Ground,Wkts,Agg,Avg,Economy,Overs
1,07-04-2017,7,2,2,2,12.5,6.25,4
2,09-04-2017,1,2,1,3,20,8.75,4
3,15-04-2017,3,1,1,4,20.75,5.75,4
4,17-04-2017,6,2,0,4,28,9.67,3
5,21-04-2017,7,1,2,6,24.17,8.25,4
6,26-04-2017,2,2,2,8,22,7.75,4
7,28-04-2017,6,1,0,8,25.38,6.75,4
8,30-04-2017,3,2,0,8,30.75,10.75,4
9,03-05-2017,2,1,1,9,31.22,8.75,4
10,09-05-2017,5,2,2,11,28.64,11.33,3
11,13-05-2017,1,1,1,12,28.33,8.33,3
