Match,Date,Vs,Ground,Wkts,Agg,Avg,Economy,Overs
1,19-04-2017,6,1,2,2,19.5,9.75,4
2,22-04-2017,2,2,0,2,40.5,10.5,4
3,30-04-2017,4,1,2,4,26.75,6.5,4
4,02-05-2017,6,2,2,6,24.67,10.25,4
5,08-05-2017,1,1,0,6,30,10.67,3
6,13-05-2017,7,2,4,10,21.2,8,4
