Match,Date,Vs,Ground,Wkts,Agg,Avg,Economy,Overs
1,17-04-2018,5,2,0,0,0,8.5,4
2,21-04-2018,8,1,0,0,0,8.75,4
3,25-04-2018,2,1,0,0,0,12,4
4,29-04-2018,3,1,2,2,78.5,10,4
5,01-05-2018,5,1,2,4,46.25,7,4
6,05-05-2018,2,2,0,4,50.75,9,2
7,07-05-2018,1,2,3,7,32.57,6.25,4
8,12-05-2018,8,2,1,8,34.25,11.5,4
9,14-05-2018,7,2,1,9,32.33,5.67,3
10,17-05-2018,1,1,1,10,33.4,10.75,4
11,19-05-2018,4,2,1,11,33.36,8.25,4
