Match,Date,Vs,Ground,Wkts,Agg,Avg,Economy,Overs
1,14-04-2017,2,1,5,5,3.4,4.25,4
2,16-04-2017,1,2,2,7,7.29,8.5,4
3,18-04-2017,8,2,0,7,12.14,8.5,4
4,23-04-2017,5,1,2,9,13.33,8.75,4
5,27-04-2017,8,2,3,12,11,3,4
6,29-04-2017,1,1,0,12,11.75,9,1
