Match,Date,Vs,Ground,Wkts,Agg,Avg,Economy,Overs
1,20-04-2018,4,2,2,2,6.5,8.67,1.3
2,22-04-2018,1,2,1,3,14.33,10,3
3,03-05-2018,3,2,0,3,18,11,1
4,11-05-2018,4,2,0,3,21.33,10,1
5,27-05-2018,1,2,1,4,22.25,8.33,3
