Match,Date,Vs,Ground,Wkts,Agg,Avg,Economy,Overs
1,05-04-2017,3,2,1,1,22,5.5,4
2,08-04-2017,6,1,1,2,20.5,4.75,4
3,10-04-2017,5,2,1,3,23.33,8.29,3.3
4,14-04-2017,1,1,1,4,25.25,10.33,3
5,16-04-2017,2,1,0,4,28,11,1
6,18-04-2017,7,2,3,7,20.43,7.75,4
7,23-04-2017,4,2,3,10,15.9,4,4
8,27-04-2017,7,1,0,10,18.8,9.67,3
9,29-04-2017,2,2,0,10,21.3,12.5,2
10,01-05-2017,1,2,1,11,22.64,9,4
11,05-05-2017,5,1,2,13,20.77,5.25,4
12,07-05-2017,4,1,1,14,22.07,9.75,4
13,14-05-2017,6,2,0,14,23.79,8,3
