Match,Date,Vs,Ground,Wkts,Agg,Avg,Economy,Overs
1,06-04-2017,1,1,3,3,9.33,7,4
2,08-04-2017,5,2,2,5,11.4,7.25,4
3,11-04-2017,6,1,1,6,13.5,6,4
4,14-04-2017,7,2,1,7,19.14,13.25,4
5,16-04-2017,8,2,1,8,20.13,6.75,4
6,22-04-2017,3,1,1,9,20.44,7.67,3
7,24-04-2017,1,1,1,10,21.6,8,4
8,26-04-2017,4,1,0,10,26.4,12,4
9,29-04-2017,8,1,3,13,21.69,4.5,4
10,01-05-2017,7,1,3,16,19.31,6.75,4
11,03-05-2017,4,2,1,17,20.29,9,4
12,06-05-2017,3,2,1,18,20.5,6,4
