Match,Date,Vs,Ground,Wkts,Agg,Avg,Economy,Overs
1,07-04-2018,2,1,1,1,44,11,4
2,17-04-2018,6,1,2,3,22.67,8,3
3,22-04-2018,4,2,1,4,25,1.67,3
4,24-04-2018,1,1,2,6,20.33,7.33,3
5,28-04-2018,2,1,2,8,18.5,6.5,4
6,01-05-2018,6,2,1,9,20.22,8.5,4
7,04-05-2018,7,2,1,10,21.3,7.75,4
8,06-05-2018,3,1,1,11,22.09,7.5,4
9,09-05-2018,3,2,1,12,22.25,8,3
10,13-05-2018,4,1,0,12,24.58,7,4
11,16-05-2018,7,1,2,14,23.71,9.25,4
