Match,Date,Vs,Ground,Wkts,Agg,Avg,Economy,Overs
9,07-04-2017,7,2,1,1,40,10,4
10,09-04-2017,1,2,0,1,87,12.26,3.5
11,13-04-2017,5,2,0,1,123,9,4
12,15-04-2017,3,1,1,2,78,8.25,4
13,13-05-2017,1,1,2,4,46.5,7.5,4
14,17-05-2017,3,2,1,5,43.2,7.5,4
